Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),22/482,2.2194178615602375e-20,3.5444103249117e-17,0,0,23.28891304347826,1053.9271121073907,IL10;CDKN1A;NOS2;MAOA;IFNB1;OPRM1;FOS;PTGS2;TNF;F3;FGF2;HIF1A;IL2;RELA;IL4;POMC;IKBKB;IL6;CASP3;LEPR;TP53;PTPN2
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),23/621,2.668631639838921e-19,2.1309023644113783e-16,0,0,19.072978303747533,815.7045708070561,IL10;CDKN1A;NOS2;MAOA;IFNB1;OPRM1;FOS;PTGS2;TNF;F3;FGF2;HIF1A;IL2;RELA;SOD1;IL4;POMC;IKBKB;IL6;LEP;CASP3;LEPR;TP53
GO_Biological_Process_2021,negative regulation of apoptotic process (GO:0043066),17/485,7.109001887418848e-14,3.629782974117703e-11,0,0,15.716524216524215,475.81509019377086,IL10;BDNF;GSTP1;ANXA5;NGF;MPO;TNF;IL2;RELA;SOD1;IL4;IKBKB;IL6;CASP3;ALB;CAT;TP53
GO_Biological_Process_2021,positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),8/34,9.091504005304205e-14,3.629782974117703e-11,0,0,113.45868945868946,3407.0340747696123,IL10;FOS;NR3C1;FGF2;HIF1A;TNF;TP53;RELA
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase II (GO:0045944),21/908,1.5710113348025256e-13,5.0178102033592656e-11,0,0,11.0009349135205,324.3283159955883,IL10;ESRRA;CEBPB;PARP1;IFNB1;FOS;NR3C1;TNF;FGF2;HIF1A;RELA;IL4;POMC;IKBKB;ADCYAP1;IL6;CREB1;NOS1;TP53;ATF6;TLR3
GO_Biological_Process_2021,regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),8/45,1.0512480760448982e-12,2.7980719624061707e-10,0,0,79.68368368368368,2197.759107176488,IL10;FOS;NR3C1;FGF2;HIF1A;TNF;TP53;RELA
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),14/335,1.4700401239811622e-12,3.3537915399970227e-10,0,0,17.8243769470405,485.6381870329873,IL10;CEBPB;NOS2;PTGS2;TNF;F3;HIF1A;IL2;RELA;SOD1;IL4;IL6;LEP;TLR3
GO_Biological_Process_2021,regulation of apoptotic process (GO:0042981),18/742,5.780642378827522e-12,1.153960734873444e-09,0,0,10.856730286288297,280.9342496637222,IL10;GSTP1;ANXA5;NGF;MPO;TNF;IL2;RELA;SOD1;IL4;IKBKB;IL6;CASP3;ALB;CAT;TP53;ATF6;CTSB
GO_Biological_Process_2021,negative regulation of programmed cell death (GO:0043069),14/381,8.296340803169463e-12,1.4721395847401815e-09,0,0,15.553701180744778,396.8558984835896,IL10;GSTP1;ANXA5;NGF;MPO;IL2;RELA;IL4;IKBKB;IL6;CASP3;ALB;CAT;TP53
GO_Biological_Process_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",21/1183,2.4419555516629255e-11,3.899803016005692e-09,0,0,8.276226858654129,202.23487399820996,IL10;ESRRA;CEBPB;PARP1;IFNB1;FOS;NR3C1;TNF;FGF2;HIF1A;RELA;IL4;POMC;IKBKB;ADCYAP1;IL6;CREB1;NOS1;TP53;ATF6;TLR3
GO_Biological_Process_2021,positive regulation of multicellular organismal process (GO:0051240),13/345,3.7105846615274544e-11,5.387094276781223e-09,0,0,15.66744529136956,376.2888966538346,IL10;GHSR;CEBPB;TNF;FGF2;IL2;SOD1;IL4;ADCYAP1;IL6;GJA1;LEP;LEPR
GO_Biological_Process_2021,regulation of interleukin-8 production (GO:0032677),8/81,1.438673140651877e-10,1.9146341713508736e-08,0,0,40.31456113647894,913.6138121137396,IL10;IL6;NOS2;LEP;TNF;F3;TLR3;RELA
GO_Biological_Process_2021,regulation of gene expression (GO:0010468),19/1079,3.2370206876835557e-10,3.9765554140235685e-08,0,0,7.869284774023694,171.95329628466055,IL10;ESRRA;TRIM71;CEBPB;NOS2;NOS3;NGF;NR3C1;TNF;F3;FGF2;HIF1A;RELA;IL4;IL6;GJA1;TP53;XDH;TLR3
GO_Biological_Process_2021,regulation of inflammatory response (GO:0050727),10/206,7.283472418054192e-10,7.903355688249846e-08,0,0,19.370094191522764,407.55149261492767,IL10;IL4;GHSR;IL6;PTGS2;TNF;PTPN2;IL2;TLR3;RELA
GO_Biological_Process_2021,positive regulation of interleukin-8 production (GO:0032757),7/61,7.423314672745628e-10,7.903355688249846e-08,0,0,46.86464646464646,985.1522896473052,IL6;NOS2;LEP;TNF;F3;TLR3;RELA
GO_Biological_Process_2021,positive regulation of protein phosphorylation (GO:0001934),12/371,1.3042860024030951e-09,1.3018404661485894e-07,0,0,13.089025069637882,267.7701710775771,ADCYAP1;IL6;CDKN1A;BDNF;LEP;LEPR;NOS1;NGF;CALM2;TP53;TNF;FGF2
GO_Biological_Process_2021,positive regulation of gene expression (GO:0010628),13/482,2.2308262884240547e-09,2.095664460360715e-07,0,0,11.013315347460946,219.39508528147977,IL10;NOS3;NGF;TNF;F3;FGF2;HIF1A;SOD1;IL4;IL6;GJA1;TP53;TLR3
GO_Biological_Process_2021,positive regulation of nucleic acid-templated transcription (GO:1903508),13/511,4.499936538184891e-09,3.992443695267373e-07,0,0,10.356528153430046,199.04421222196808,IL10;CEBPB;FOS;TNF;FGF2;HIF1A;RELA;IL4;IKBKB;IL6;CREB1;NOS1;TP53
GO_Biological_Process_2021,lymphocyte differentiation (GO:0030098),7/84,7.291491080789618e-09,6.128690134747905e-07,0,0,32.82809917355372,615.0855767762071,IL10;IL4;IFNB1;LEP;LEPR;PTPN2;IL2
GO_Biological_Process_2021,positive regulation of reactive oxygen species metabolic process (GO:2000379),6/49,8.726637539892386e-09,6.96822007560407e-07,0,0,49.57225913621262,919.9067468209254,CDKN1A;GSTP1;AKR1C1;TP53;XDH;SOD1
GO_Biological_Process_2021,negative regulation of inflammatory response (GO:0050728),9/212,1.7777552544101813e-08,1.3519405434728855e-06,0,0,16.50850450785389,294.5996986735544,IL10;IL4;POMC;GHSR;ADCYAP1;IL6;CREB1;GSTP1;PTPN2
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604),11/384,2.395492088597475e-08,1.7389094843137127e-06,0,0,11.313410082531671,198.51744833510304,IL4;IL6;GJA1;NOS3;NGF;TP53;TNF;F3;FGF2;HIF1A;TLR3
GO_Biological_Process_2021,response to lipopolysaccharide (GO:0032496),8/159,3.14065520235469e-08,2.18070711224367e-06,0,0,19.413294088790774,335.3889084632044,IL10;SELP;IL6;NOS2;NOS3;GSTP1;NOS1;RELA
GO_Biological_Process_2021,regulation of interleukin-6 production (GO:0032675),7/110,4.8116266328021024e-08,3.2017365552437324e-06,0,0,24.50926743159753,412.9724686602792,IL10;GHSR;IL6;NOS2;LEP;TNF;TLR3
GO_Biological_Process_2021,positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427),5/33,5.3902989587110534e-08,3.4433229748246207e-06,0,0,62.37468671679198,1043.907740326032,IL10;IL4;IL6;LEP;TNF
GO_Biological_Process_2021,positive regulation of metabolic process (GO:0009893),7/113,5.797523966404566e-08,3.46614082192143e-06,0,0,23.812006861063463,396.7854190389015,IL4;ADCYAP1;CEBPB;GJA1;LEP;LEPR;TNF
GO_Biological_Process_2021,positive regulation of purine nucleotide biosynthetic process (GO:1900373),4/13,5.86010032510198e-08,3.46614082192143e-06,0,0,152.71264367816093,2543.049439910156,IL4;NOS2;NOS3;NOS1
GO_Biological_Process_2021,response to molecule of bacterial origin (GO:0002237),6/73,1.0028425478945093e-07,5.719784103526897e-06,0,0,31.776652452025587,512.0889251686446,IL10;SELP;IL6;NOS2;NOS3;NOS1
GO_Biological_Process_2021,regulation of tumor necrosis factor production (GO:0032680),7/124,1.100432556050076e-07,6.059968248317142e-06,0,0,21.56130536130536,345.4636933369431,IL10;IL4;POMC;GHSR;IL6;GSTP1;TLR3
GO_Biological_Process_2021,cellular response to oxidative stress (GO:0034599),7/125,1.1629058380013865e-07,6.190535410960715e-06,0,0,21.377503852080125,341.33831825007815,PARP1;GSTP1;CAT;FOS;TP53;HIF1A;SOD1
GO_Biological_Process_2021,positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996),4/16,1.481328708226179e-07,7.6312320872168e-06,0,0,114.51724137931036,1800.801507150581,SELP;IL6;TNF;RELA
GO_Biological_Process_2021,regulation of cytokine production involved in inflammatory response (GO:1900015),5/43,2.134924854928327e-07,1.0654609354126682e-05,0,0,45.93721144967682,705.5801422273211,IL6;NOS2;LEP;HIF1A;TNF
